,automotive industry,auto insurance,second hand car,mobile phone,mercedes benz,electrical appliance,wifi,clothing,shoes,underwear,electricity,energy,gasoline,tobacco,video game,t-shirt,natural gas,health care,furniture,interior design,ebook,novel,footwear,lingerie,real estate,life insurance,dessert,potato,coffee,bottled water,margarine,offal,juice,jam,veterinarians,amusement park,television,hairdresser,timber,travel agency,nightclub,fur,vitamins,petroleum,beer,lawyer,renovation,restaurant
2006-04-30,0,0,51,60,73,0,50,72,83,61,49,83,46,100,65,100,0,0,52,65,83,0,27,30,75,0,28,56,25,0,0,0,0,33,44,64,73,45,35,66,53,41,31,46,36,54,0,55
2006-05-07,0,36,55,58,72,0,59,82,67,40,51,89,34,37,61,56,57,92,55,71,30,0,30,26,67,33,20,32,52,0,0,0,0,26,75,0,53,43,0,83,53,0,40,53,28,60,32,60
2006-05-14,0,76,71,57,67,0,74,69,58,58,62,88,19,0,60,53,21,0,75,80,29,0,0,30,72,0,33,33,60,0,0,0,0,44,45,21,55,37,0,50,41,0,48,63,52,60,0,63
2006-05-21,34,55,52,54,65,0,46,55,70,0,53,100,59,56,59,56,53,47,47,61,43,0,0,42,62,0,36,0,32,0,41,0,0,41,71,100,62,28,0,57,50,24,34,78,52,54,0,62
2006-05-28,75,0,52,60,64,0,58,67,76,18,65,66,33,0,61,43,19,46,62,61,0,33,0,45,67,0,59,0,49,0,0,0,28,56,38,0,60,20,57,60,39,0,41,87,69,56,0,57
2006-06-04,0,0,35,50,50,74,64,56,59,100,79,96,26,33,62,53,39,0,55,56,48,24,0,81,74,0,45,35,72,0,0,30,0,25,85,0,67,61,0,67,34,0,28,54,100,44,0,51
2006-06-11,0,55,59,56,72,0,61,62,59,71,42,65,41,0,82,66,40,0,67,81,15,26,100,37,73,0,0,65,62,0,26,0,20,33,36,41,100,39,71,59,66,0,41,49,89,46,0,50
2006-06-18,63,0,72,61,60,0,65,57,61,29,24,43,0,0,68,72,0,28,79,73,26,32,0,75,65,18,0,28,51,0,26,0,18,41,20,0,88,15,71,67,33,0,0,46,42,47,0,51
2006-06-25,0,68,69,64,66,0,63,69,51,70,43,36,18,46,70,49,44,0,53,56,72,0,0,49,70,28,35,18,42,0,0,0,0,32,12,17,59,23,0,68,22,55,28,52,39,57,0,64
2006-07-02,33,0,90,65,97,0,0,76,91,89,58,28,19,0,83,82,0,0,74,74,85,67,0,39,80,0,0,41,37,0,0,0,0,18,42,39,45,73,0,77,38,0,44,0,37,61,0,45
2006-07-09,0,0,54,64,50,0,53,65,56,59,42,31,40,0,79,62,0,0,61,63,100,0,0,33,55,0,42,22,51,100,25,52,31,19,58,18,45,44,41,86,35,0,36,19,47,38,0,57
2006-07-16,0,0,90,69,91,0,70,62,75,0,43,31,32,0,77,63,43,0,61,82,69,59,32,25,75,0,43,0,27,0,0,63,56,0,0,54,47,52,0,93,45,0,19,37,69,47,19,62
2006-07-23,45,61,71,71,82,0,70,66,65,35,46,34,0,0,86,29,17,70,81,76,36,36,0,21,75,0,31,33,39,32,0,38,57,35,33,0,41,23,0,83,32,0,40,0,86,41,0,65
2006-07-30,0,75,92,79,72,0,78,52,68,34,31,18,31,0,92,62,85,36,80,78,70,0,42,34,73,23,0,31,41,0,0,65,69,38,0,33,43,88,0,100,70,38,61,34,57,44,0,60
2006-08-06,0,0,66,72,63,0,97,73,60,85,27,31,18,41,85,49,86,0,63,80,40,0,0,100,96,0,29,24,26,0,0,0,0,67,0,62,47,43,0,85,77,33,62,45,46,56,0,68
2006-08-13,0,41,96,82,88,0,86,54,57,28,66,21,35,0,97,73,100,83,88,93,41,0,0,59,95,0,32,46,57,0,0,0,0,32,37,60,52,61,61,64,90,32,51,100,31,59,20,78
2006-08-20,70,0,75,67,90,0,49,52,55,24,68,25,36,65,86,49,0,0,79,100,16,56,0,56,91,0,60,31,70,47,0,0,0,67,28,22,54,24,0,59,56,0,55,61,46,100,16,61
2006-08-27,0,0,95,81,73,0,86,64,78,33,27,39,45,22,81,43,66,0,85,96,24,32,0,40,96,0,13,33,58,0,0,0,20,49,32,0,52,42,0,54,87,0,54,37,23,65,100,60
2006-09-03,0,0,98,72,74,0,42,63,72,44,31,22,39,0,79,40,36,60,80,92,86,0,0,33,91,0,26,20,87,0,0,0,0,40,29,46,54,62,0,47,58,27,28,50,58,52,0,63
2006-09-10,63,46,67,78,65,0,70,68,60,67,18,25,23,22,74,50,25,68,70,87,0,0,0,55,86,0,15,16,66,0,0,0,0,61,43,0,63,31,0,52,33,16,27,18,50,37,0,57
2006-09-17,55,35,100,68,65,41,100,81,73,53,73,44,62,26,75,36,62,29,81,76,33,24,0,48,82,36,36,0,35,0,0,25,16,37,100,0,53,29,0,35,34,0,0,48,39,75,0,58
2006-09-24,52,0,75,65,72,0,78,67,100,40,33,47,53,26,73,54,19,68,66,86,54,0,0,43,99,0,43,35,47,0,0,26,14,41,41,0,58,61,0,35,45,0,28,53,48,77,0,61
2006-10-01,0,50,80,70,78,0,71,79,70,24,56,56,0,0,75,50,0,32,100,69,33,22,30,44,89,0,24,27,36,0,88,0,19,34,0,18,51,25,0,40,23,59,38,70,29,49,24,62
2006-10-08,74,44,75,56,79,0,47,73,68,17,41,55,49,0,71,28,28,62,73,83,64,0,0,41,100,0,28,18,59,24,0,0,0,62,23,0,51,39,0,28,37,31,65,63,36,62,26,63
2006-10-15,0,0,77,54,89,63,60,85,86,73,69,52,84,49,65,34,22,0,89,81,40,25,0,43,80,36,41,51,72,0,0,0,26,42,48,0,61,23,0,33,39,52,63,36,55,38,0,57
2006-10-22,42,27,86,56,62,0,40,81,95,0,50,60,41,0,68,29,0,49,71,87,42,0,0,23,79,0,40,100,61,59,0,0,0,15,0,0,57,43,0,28,48,0,20,25,40,51,0,74
2006-10-29,0,0,73,64,66,0,65,64,52,15,100,50,49,63,76,26,0,0,92,75,43,33,0,59,79,0,0,21,52,22,0,0,0,36,17,20,59,54,26,34,47,40,30,34,40,58,0,64
2006-11-05,100,51,74,58,52,0,31,74,80,50,65,57,21,0,72,28,38,32,71,75,25,0,0,44,67,0,52,26,72,0,26,0,13,47,18,0,47,64,0,27,30,18,45,26,32,68,36,68
2006-11-12,60,0,65,63,85,0,54,76,78,57,45,44,23,0,69,27,32,32,65,64,70,0,0,40,68,0,26,23,64,0,0,55,27,44,18,20,45,38,31,35,20,0,41,51,48,41,0,66
2006-11-19,44,19,74,68,77,0,61,83,72,17,67,55,15,0,76,19,27,24,67,58,60,30,0,46,93,0,35,17,69,49,34,0,14,34,27,0,57,23,0,28,49,0,55,34,49,39,0,67
2006-11-26,0,0,68,71,79,0,73,72,52,65,30,50,34,21,70,19,29,50,70,72,50,0,0,33,58,0,16,36,53,0,0,0,0,39,52,0,58,35,0,29,58,0,50,41,28,56,0,73
2006-12-03,82,0,52,73,69,0,69,92,65,84,55,50,44,78,87,38,28,0,56,66,40,22,0,15,63,22,14,19,51,62,42,61,0,66,0,0,65,14,0,23,62,33,47,49,33,46,12,82
2006-12-10,0,100,84,69,65,0,59,75,70,59,69,48,9,0,77,18,29,24,57,48,52,0,0,36,52,35,31,17,36,0,0,0,15,60,25,0,49,35,93,18,46,0,36,56,20,57,0,96
2006-12-17,68,0,56,83,55,0,43,84,61,50,35,38,45,0,96,29,42,0,35,54,99,0,0,62,42,19,57,55,32,48,0,0,0,100,36,16,48,23,0,15,54,40,33,0,51,43,0,98
2006-12-24,0,46,62,100,80,0,82,66,62,0,33,26,0,0,100,40,58,30,54,44,58,59,0,32,61,0,0,32,46,0,0,0,19,59,47,0,52,38,43,31,100,0,28,32,30,43,0,92
2006-12-31,31,38,76,72,67,0,38,62,69,77,75,38,27,0,86,28,20,0,63,45,52,34,21,48,69,21,0,38,63,0,0,0,0,19,32,0,51,48,85,39,62,27,31,56,31,40,0,67
2007-01-07,21.873155326106804,46.91605025125629,90.5657003571975,64.9497775395983,63.83592057614178,0.0,63.35475721275625,79.86688960285886,70.4138972062289,22.442451855256596,49.051216057519575,50.202992742024136,38.28039887017767,0.0,70.48274358080029,34.81427887272057,24.87420527445849,33.184127557675296,69.69311039602408,60.25646153842023,37.354433611725824,0.0,0.0,20.005404854622704,76.12281592205395,0.0,23.532846715328468,44.702485966319166,61.63736263736264,0.0,0.0,0.0,13.78529411764706,19.444103463393247,39.40342094284522,27.677824267782427,52.03149606299212,43.49171597633136,0.0,53.51793290230489,58.772726588946405,0.0,56.215918478801164,48.12320328542095,51.68000000000001,55.83163554046406,0.0,56.249733570159854
2007-01-14,0.0,41.584680904522614,88.50738898544301,66.01452799106713,62.83848431713957,0.0,49.170856344228724,85.4389981798025,79.09506261521602,38.6938825090631,67.34150001117095,52.35454957382517,44.66046534854062,60.92171908942351,70.48274358080029,19.183378154356234,38.49579387713814,37.608677898698666,64.02041536378957,68.62541452986748,48.12975099972366,0.0,19.92615019762846,27.699791337169895,85.29423952712068,0.0,31.503649635036496,8.381716118684844,48.61538461538461,0.0,23.708926261319537,0.0,20.51764705882353,9.722051731696624,36.25114726741761,0.0,53.093363329583795,51.207988165680476,0.0,40.74660800516395,51.967463510226295,22.318506814141813,58.37806918952428,44.781314168377826,25.16,44.822580645161295,0.0,61.036944937833034
2007-01-21,38.53841652695008,0.0,77.18667644079333,57.49652437931653,76.80259194317058,0.0,46.334076170523225,74.29478102591521,79.09506261521602,34.82449425815679,63.184617294431995,50.92017835262448,22.040229652526538,0.0,68.34690286623058,37.65626082151409,59.224298272520215,0.0,74.55542042365367,73.64678632473584,43.10126955199134,24.75645092417495,0.0,49.244073488302035,78.87424300357397,0.0,23.532846715328468,46.797914995990375,54.69230769230769,45.93023255813954,0.0,0.0,0.0,21.874616396317403,32.31080517313308,0.0,55.21709786276715,42.08875739644971,0.0,32.84054973550527,48.874162110808065,0.0,48.288032539483055,49.459958932238195,28.560000000000002,63.69524617996605,0.0,58.643339253996444
2007-01-28,38.53841652695008,60.777610552763825,61.74934115263466,57.49652437931653,76.80259194317058,0.0,57.681196865345235,76.1521505515631,40.51210524193991,77.3877650181262,53.208098774258524,50.202992742024136,34.22035656576489,39.63581723890204,70.48274358080029,37.65626082151409,50.932896514367386,16.223351250419032,72.93465041444381,71.9729957264464,40.94620607439177,0.0,0.0,68.48003969467001,72.45424648002724,16.50052206359684,18.21897810218978,18.160384923817162,73.79120879120879,0.0,0.0,0.0,14.747058823529413,21.874616396317403,0.0,15.99163179916318,53.093363329583795,34.372485207100596,0.0,49.26082460325791,25.983731755113148,0.0,29.54939304654933,65.50102669404518,30.6,51.113469156762875,0.0,65.82415630550621
2007-02-04,0.0,54.37996733668342,77.18667644079333,60.690775733723,66.82822935314843,20.055152394775035,43.49729599681772,78.93820484003491,51.122418519590845,64.23184496504474,21.615790127042526,48.0514359102231,17.400181304626216,0.0,65.14314179437602,49.02418861668816,49.74841054891698,73.74250568372288,68.07234038681422,66.95162393157804,0.0,16.504300616116634,28.71709881422925,36.163616467971806,80.70852772458731,24.50077518534076,0.0,23.04971932638332,47.74725274725275,0.0,0.0,0.0,17.311764705882354,24.30512932924156,22.85398414685023,18.451882845188283,56.278965129358824,51.207988165680476,0.0,35.273183049246406,54.44210462976088,0.0,24.504374721528713,50.12833675564682,31.96,52.68619128466327,0.0,73.00497335701598
2007-02-11,84.3678848292691,0.0,90.5657003571975,60.690775733723,59.84617554013292,0.0,46.334076170523225,88.22505246827431,57.87443605991417,37.14612720870058,37.41194445065052,40.87957980421965,21.460223609038998,0.0,69.41482322351543,41.919233744704364,33.16560703261132,22.860176761954094,46.19194526248108,75.3205769230253,38.07278810425901,42.63610992496797,0.0,35.394177819717086,77.03995828256062,10.000316402179903,25.43065693430657,25.84362469927827,32.98901098901099,0.0,0.0,0.0,19.876470588235296,31.596668128014027,44.13183145598665,0.0,61.588301462317204,46.297633136094674,0.0,40.13844967672867,40.83157847232066,27.39089472644677,21.621507107231217,50.12833675564682,27.200000000000003,40.8907753254103,10.921205098493626,119.68028419182947
2007-02-18,0.0,0.0,75.12836506903884,61.755526185191826,64.833356835144,26.262699564586356,49.170856344228724,80.7955743656828,59.80358392857797,51.07592491196329,24.941296300433685,36.57646614061758,38.860404913665214,0.0,86.50154894007308,29.84081046233192,12.437102637229245,61.94370477432722,48.62310027629587,47.70303205124935,35.91772462665945,0.0,0.0,46.166318895283155,80.70852772458731,0.0,0.0,41.90858059342422,69.45054945054946,0.0,0.0,0.0,22.441176470588236,33.2170100832968,37.03921568627451,22.757322175732217,75.392575928009,35.77544378698225,29.732142857142854,49.26082460325791,61.866027988364635,0.0,45.40516492518556,24.729979466119097,21.76,51.89983022071308,0.0,64.62735346358792
2007-02-25,0.0,0.0,69.98258663965262,57.49652437931653,68.82310187115286,13.847605224963715,35.93254886693638,73.36609626309128,56.909862125582265,37.14612720870058,41.56882716738947,43.03113663602069,9.860102739288187,35.2318375456907,61.93938072252146,34.10378338552219,13.62158860267965,21.385326648279637,81.03850046049313,60.25646153842023,31.607597671460315,25.444130116513143,0.0,76.94386482547193,69.70281939850722,0.0,23.153284671532845,22.351242983159583,49.48351648351648,0.0,31.80465717981889,0.0,13.464705882352943,30.786497150372643,48.072173550271174,30.13807531380753,62.65016872890888,45.59615384615385,0.0,45.00371630421093,48.255501830924416,25.36193956152479,36.035845178718695,54.13860369609856,44.88,57.40435766836446,0.0,70.61136767317939
2007-03-04,42.704731827160906,36.25331155778895,67.92427526789812,57.49652437931653,71.8154106481595,0.0,62.409163821521076,73.36609626309128,48.22869671659514,47.20653666105698,34.08643827725937,55.9404776268269,19.140199435088835,0.0,65.14314179437602,26.998828513538406,27.835420188084502,0.0,68.88272539141916,80.34194871789364,70.39874026825251,41.26075154029159,0.0,40.78024835750012,63.2828228749605,0.0,23.532846715328468,30.03448275862069,50.35164835164835,0.0,0.0,0.0,12.50294117647059,15.393248575186322,43.34376303712975,32.59832635983263,70.08323959505061,35.77544378698225,0.0,41.96292466203452,61.866027988364635,31.448805056290738,27.38724233582621,43.44455852156058,24.48,41.6771363893605,43.684820393974505,55.05293072824156
2007-03-11,0.0,0.0,61.74934115263466,45.78426941315946,58.848739281130705,0.0,50.116449735463895,69.65135721179551,61.732731797241776,28.633473056706695,54.03947531760631,48.0514359102231,24.3602538264767,20.551905234986243,59.80354000795175,31.972296923927058,0.0,30.23442733032638,74.55542042365367,60.25646153842023,29.452534193860746,0.0,0.0,24.622036744151018,68.78567703800054,0.0,26.56934306569343,29.33600641539695,52.956043956043956,31.691860465116278,0.0,0.0,19.876470588235296,34.02718106093818,36.25114726741761,20.297071129707113,89.19685039370079,49.80502958579882,0.0,44.395557975775645,40.83157847232066,0.0,38.19799588944181,32.75051334702259,19.040000000000003,53.47255234861347,14.852838933951332,64.62735346358792
2007-03-18,0.0,47.98232412060302,79.24498781254782,54.30227302491006,60.84361179913513,0.0,38.76932904064188,68.72267244897158,65.59102753456939,51.07592491196329,62.35324075108421,52.35454957382517,17.400181304626216,0.0,75.82234536722454,39.07725179591085,24.87420527445849,25.809876989303007,59.96849034076491,75.3205769230253,43.819624044524524,64.64184407979015,0.0,25.391475392405738,71.53710411952056,17.750561613869326,14.043795620437955,57.97353648757017,70.31868131868131,0.0,0.0,0.0,0.0,21.874616396317403,54.37672090112641,11.07112970711297,64.77390326209223,32.268047337278105,19.325892857142858,52.301616245434325,37.73827707290243,21.304029231680822,61.26093680382178,29.40862422997947,29.240000000000002,46.39530277306169,10.047508690614135,59.840142095914736
2007-03-25,0.0,63.97643216080402,62.778496838511906,52.17277212197241,99.74362590022153,0.0,61.46357043028591,74.29478102591521,81.02421048387983,57.26694611341339,54.03947531760631,38.72802297241862,27.260284043914403,26.42387815926803,80.09402679636396,68.20756677104438,32.573364049886116,22.122751705116865,72.93465041444381,72.80989102559111,45.256333029590905,29.570205270542303,29.303162055335967,35.394177819717086,66.9513923169872,0.0,0.0,32.1299117882919,32.98901098901099,0.0,0.0,0.0,28.211764705882356,35.64752301622096,30.734668335419276,31.368200836820083,67.95950506186726,44.89467455621302,0.0,54.12609123074017,54.44210462976088,0.0,10.090036650041235,16.709445585215608,25.840000000000003,44.822580645161295,0.0,61.036944937833034
2007-04-01,82.2847271791637,106.62738693467337,69.98258663965262,57.49652437931653,86.77695453319274,0.0,50.116449735463895,52.93503148096459,73.30761900922461,53.39755786250708,30.76093210386821,33.707723698216206,17.400181304626216,0.0,81.16194715364881,36.94576533431571,0.0,24.33502687562855,64.02041536378957,78.6681581196042,58.186713895188305,0.0,0.0,40.78024835750012,67.86853467749387,0.0,31.503649635036496,60.76744186046512,63.37362637362637,0.0,0.0,0.0,29.173529411764708,66.4340201665936,46.49603671255736,0.0,88.13498312710911,23.850295857988165,0.0,49.26082460325791,43.306219591855246,101.44775824609916,26.666525432251834,40.77104722792608,9.520000000000001,36.172608941709115,11.35805330243337,62.233747779751326
2007-04-08,0.0,0.0,97.76979015833821,60.690775733723,89.76926331019938,47.750362844702465,40.66051582311222,67.79398768614763,62.69730573157368,23.99020715561912,43.23158025408505,61.67796251162965,34.22035656576489,35.96583416122593,69.41482322351543,39.07725179591085,17.175046499030863,53.8320291491177,60.77887534536984,56.07198504269661,48.12975099972366,23.381092539498564,0.0,25.391475392405738,71.53710411952056,0.0,20.11678832116788,69.8476343223737,33.85714285714286,17.912790697674417,0.0,0.0,0.0,22.68478737395879,20.489778890279517,23.372384937238493,77.51631046119235,55.41686390532544,0.0,56.5587245444813,42.6875593119716,0.0,58.37806918952428,28.740246406570844,33.32,57.40435766836446,0.0,59.840142095914736
2007-04-15,0.0,0.0,61.74934115263466,56.43177392784771,68.82310187115286,17.667634252539912,16.075087650997855,60.364509583556114,81.02421048387983,51.07592491196329,50.713969144215156,63.82951934343069,25.52026591345178,0.0,57.66769929338205,53.99765702707681,0.0,20.647901591442405,59.96849034076491,61.09335683756496,56.031650417588736,18.567338193131214,16.7028023715415,39.24137106099069,73.37138884053391,25.000791005449756,13.284671532846716,33.52686447473938,51.21978021978022,0.0,24.865459249676586,0.0,19.55588235294118,36.45769399386234,39.40342094284522,28.292887029288703,72.20697412823397,41.38727810650888,34.191964285714285,40.74660800516395,30.933013994182318,0.0,25.94580852867746,62.159137577002056,30.6,77.84974533106961,0.0,63.430550621669624
2007-04-22,0.0,47.98232412060302,82.33245487017955,56.43177392784771,90.76669956920159,0.0,66.19153738646175,78.00952007721098,63.66187966590558,30.95510600725048,56.53360494764968,57.37484884802758,41.18042908761537,0.0,69.41482322351543,39.07725179591085,38.49579387713814,23.597601818791322,57.53733532695012,70.29920512815694,25.14240723866161,0.0,0.0,24.622036744151018,72.45424648002724,0.0,27.32846715328467,46.09943865276664,48.61538461538461,0.0,32.96119016817594,0.0,19.55588235294118,32.406839105655415,50.43637880684189,15.99163179916318,75.392575928009,37.17840236686391,0.0,55.95056621604602,47.018181271157125,19.27507406675884,38.91871279301619,24.729979466119097,55.760000000000005,49.540747028862484,0.0,55.05293072824156
2007-04-29,0.0,0.0,84.39076624193405,57.49652437931653,74.80771942516616,0.0,52.9532299091694,79.86688960285886,94.52824556452647,0.0,83.13765433477894,50.202992742024136,26.680278000426863,0.0,67.27898250894573,48.31369312948978,21.91299036083248,41.29580318288481,55.106180313135326,76.99436752131474,32.325952163993506,0.0,0.0,46.935757543537875,82.54281244560066,10.000316402179903,26.94890510948905,27.939053728949478,80.73626373626374,0.0,16.769728331177234,17.5,0.0,19.444103463393247,19.70171047142261,24.602510460251047,92.38245219347581,44.19319526627219,25.272321428571427,32.84054973550527,50.730142950459005,0.0,38.91871279301619,38.097535934291585,25.840000000000003,47.18166383701189,0.0,64.62735346358792
2007-05-06,28.122628276423033,0.0,80.27414349842506,55.36702347637888,70.81797438915729,0.0,46.334076170523225,74.29478102591521,71.3784711405608,28.633473056706695,45.72570988412842,71.71856106003447,24.94025986996424,14.67993231070446,60.87146036523661,41.919233744704364,46.78719563529097,0.0,61.58926034997477,67.78851923072277,30.170888686393937,0.0,0.0,24.622036744151018,78.87424300357397,17.750561613869326,27.70802919708029,29.33600641539695,30.384615384615387,0.0,0.0,0.0,0.0,17.82376150811048,41.767626199415936,21.527196652719667,72.20697412823397,35.07396449704142,0.0,38.9221330198581,17.3224878367421,36.52119296859569,22.34222401080559,49.459958932238195,36.720000000000006,53.47255234861347,9.173812282734646,53.856127886323264
2007-05-13,26.039470626317623,0.0,69.98258663965262,47.91377031609711,67.82566561215064,0.0,39.71492243187705,65.00793339767581,84.88250622120744,32.502861307613,73.99251235795326,71.00137544943414,34.22035656576489,0.0,60.87146036523661,41.208738257505985,49.74841054891698,50.14490386493156,51.8646402947156,57.74577564098606,55.31329592505555,32.32092203989507,0.0,30.008107281934052,71.53710411952056,0.0,16.32116788321168,20.25581395348837,76.3956043956044,0.0,35.27425614489004,0.0,10.579411764705883,17.82376150811048,38.61535252398832,0.0,74.33070866141732,49.10355029585799,0.0,41.35476633359923,43.92487987173889,16.231641319375864,36.75656208229307,41.43942505133471,68.0,59.763440860215056,18.347624565469292,58.643339253996444
2007-05-20,0.0,27.723120603015076,79.24498781254782,57.49652437931653,60.84361179913513,0.0,59.57238364781557,91.01110675674614,60.768157862909874,25.537962455981646,55.70222840430189,65.26389056463138,35.38036865273997,27.15787477480325,69.41482322351543,51.155675078283295,51.52513949709259,0.0,64.02041536378957,80.34194871789364,35.199370134126255,39.8853931556152,0.0,41.54968700575484,87.12852424813403,14.000442963051864,28.08759124087591,41.21010425020048,59.901098901098905,0.0,14.456662354463132,0.0,0.0,24.30512932924156,39.40342094284522,19.682008368200837,75.392575928009,50.50650887573965,0.0,46.82819128951678,32.17033455394961,0.0,46.8465987323343,56.81211498973306,30.6,54.25891341256367,0.0,59.840142095914736
2007-05-27,17.706840025895985,0.0,89.53654467132026,54.30227302491006,61.84104805813735,15.280116110304789,45.388482779288054,74.29478102591521,79.09506261521602,0.0,52.37672223091074,68.13263300703275,26.680278000426863,24.221888312662358,66.21106215166087,65.36558482225088,24.87420527445849,0.0,58.34772033155505,71.13610042730167,56.031650417588736,0.0,28.42406719367589,11.541579723820789,69.70281939850722,0.0,27.32846715328467,23.04971932638332,60.769230769230774,0.0,31.80465717981889,0.0,0.0,28.355984217448487,63.833541927409264,44.28451882845188,66.89763779527559,50.50650887573965,14.866071428571427,41.35476633359923,37.73827707290243,21.304029231680822,65.58523822526803,60.82238193018481,32.64,61.336162988115454,0.0,62.233747779751326
2007-06-03,0.0,0.0,72.04089801140711,54.30227302491006,78.79746446117501,0.0,51.062043126699066,75.22346578873916,64.62645360023748,41.01551545960689,50.713969144215156,65.98107617523172,23.78024778298916,30.827857852479365,68.34690286623058,45.47171118069626,30.20439211898531,30.23442733032638,58.34772033155505,71.9729957264464,46.69304201465728,15.816621423778441,0.0,39.24137106099069,68.78567703800054,0.0,22.773722627737225,31.431435445068164,35.59340659340659,0.0,0.0,0.0,0.0,30.786497150372643,41.767626199415936,25.217573221757323,69.02137232845894,49.80502958579882,0.0,46.22003296108149,42.6875593119716,40.57910329843966,29.54939304654933,38.76591375770021,23.8,44.822580645161295,0.0,56.249733570159854
2007-06-10,0.0,39.452133165829146,71.01174232552987,57.49652437931653,69.82053813015507,18.145137880986937,54.844416691639736,79.86688960285886,59.80358392857797,34.05061660797553,48.21983951417179,55.9404776268269,51.620537870391104,0.0,68.34690286623058,55.41864800147357,42.641494756214556,0.0,65.64118537299943,66.95162393157804,30.889243178927124,14.441263039102054,10.842169960474308,12.311018372075509,83.45995480610733,0.0,25.43065693430657,30.732959101844425,59.032967032967036,0.0,0.0,0.0,25.00588235294118,25.92547128452433,21.277847309136423,20.91213389121339,66.89763779527559,45.59615384615385,0.0,50.47714126012848,47.018181271157125,26.37641714398578,53.33305086450367,26.735112936344972,31.96,50.32710809281268,0.0,53.856127886323264
